Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path,language
1.725287666434999e+18,gemini,auto_adapt,9.0,0.2222,Warning Exists,"[""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON."", '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Actuator/Heater/LivingRoom/1 is || /Actuator/AC/LivingRoom/1 is', ""'/Sensor/Humidity/LivingRoom/1' is now ON."", '/Sensor/Humidity/LivingRoom/1 reading is:', ""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", '/Sensor/LightIntensive/LivingRoom/1 reading is:']",/Users/minghe/llm4faas/experiments_default/functions_en/gemini_en_functions/gemini_auto_adapt_9_1725287666434999000.log,EN
1.725287893442742e+18,gemini,auto_adapt,23.0,0.0,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/gemini_en_functions/gemini_auto_adapt_23_1725287893442742000.log,EN
1.725287785922075e+18,gemini,auto_adapt,7.0,0.0,Warning Exists,"[""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON."", '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Actuator/AC/LivingRoom/1', ""'/Sensor/Humidity/LivingRoom/1' is now ON."", '/Sensor/Humidity/LivingRoom/1 reading is:', '/Actuator/Humidifier/LivingRoom/1', ""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", '/Sensor/LightIntensive/LivingRoom/1 reading is:']",/Users/minghe/llm4faas/experiments_default/functions_en/gemini_en_functions/gemini_auto_adapt_7_1725287785922075000.log,EN
1.725287822083411e+18,gemini,auto_adapt,4.0,0.0,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/gemini_en_functions/gemini_auto_adapt_4_1725287822083411000.log,EN
1.725287736175736e+18,gemini,auto_adapt,2.0,0.0,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/gemini_en_functions/gemini_auto_adapt_2_1725287736175736000.log,EN
1.725287772568409e+18,gemini,auto_adapt,3.0,0.0,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/gemini_en_functions/gemini_auto_adapt_3_1725287772568409000.log,EN
1.725287686968365e+18,gemini,auto_adapt,10.0,0.0,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/gemini_en_functions/gemini_auto_adapt_10_1725287686968365000.log,EN
1.725287843037511e+18,gemini,auto_adapt,18.0,0.0,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/gemini_en_functions/gemini_auto_adapt_18_1725287843037511000.log,EN
1.725287797195368e+18,gemini,auto_adapt,19.0,0.0,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/gemini_en_functions/gemini_auto_adapt_19_1725287797195368000.log,EN
1.725287916434295e+18,gemini,auto_adapt,13.0,0.0,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/gemini_en_functions/gemini_auto_adapt_13_1725287916434295000.log,EN
1.725287650739342e+18,gemini,auto_adapt,14.0,0.0,Warning Exists,"[""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", ""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON."", ""'/Sensor/Humidity/LivingRoom/1' is now ON."", '/Sensor/LightIntensive/LivingRoom/1 reading is:', '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Sensor/Humidity/LivingRoom/1 reading is:', '/Actuator/AC/LivingRoom/1 || /Actuator/Heater/LivingRoom/1', '/Actuator/Humidifier/LivingRoom/1', '/Actuator/Light/LivingRoom/1 || /Actuator/Light/LivingRoom/2']",/Users/minghe/llm4faas/experiments_default/functions_en/gemini_en_functions/gemini_auto_adapt_14_1725287650739342000.log,EN
