Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path,language
1734795014915316000,openai_gpt-4o,auto_adapt,7,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_7_1734795014915316000.log,ZH
1734797243457787000,openai_gpt-4o,auto_adapt,2,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_2_1734797243457787000.log,ZH
1734799064625377000,openai_gpt-4o,auto_adapt,3,0.8889,No Error & Warning,['Set /Actuator/Light/LivingRoom/1 light brightness level to MEDIUM || Set /Actuator/Light/LivingRoom/2 light brightness level to MEDIUM'],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_3_1734799064625377000.log,ZH
1734798367516942000,openai_gpt-4o,auto_adapt,3,0.8889,Warning Exists,['Set /Actuator/Light/LivingRoom/1 light brightness level to MEDIUM || Set /Actuator/Light/LivingRoom/2 light brightness level to MEDIUM'],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_3_1734798367516942000.log,ZH
1734797991298618000,openai_gpt-4o,auto_adapt,2,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_2_1734797991298618000.log,ZH
1734798052939155000,openai_gpt-4o,auto_adapt,7,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_7_1734798052939155000.log,ZH
1734796558508902000,openai_gpt-4o,auto_adapt,7,0.0,Error,,/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_7_1734796558508902000.log,ZH
1734797304935044000,openai_gpt-4o,auto_adapt,7,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_7_1734797304935044000.log,ZH
1734798023756908000,openai_gpt-4o,auto_adapt,3,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_3_1734798023756908000.log,ZH
1734795402577472000,openai_gpt-4o,auto_adapt,3,0.8889,No Error & Warning,['Set /Actuator/Light/LivingRoom/1 light brightness level to MEDIUM || Set /Actuator/Light/LivingRoom/2 light brightness level to MEDIUM'],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_3_1734795402577472000.log,ZH
1734796921574659000,openai_gpt-4o,auto_adapt,3,0.8889,No Error & Warning,['Set /Actuator/Light/LivingRoom/1 light brightness level to MEDIUM || Set /Actuator/Light/LivingRoom/2 light brightness level to MEDIUM'],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_3_1734796921574659000.log,ZH
1734798336899127000,openai_gpt-4o,auto_adapt,2,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_2_1734798336899127000.log,ZH
1734794957160304000,openai_gpt-4o,auto_adapt,3,0.8889,No Error & Warning,['Set /Actuator/Light/LivingRoom/1 light brightness level to MEDIUM || Set /Actuator/Light/LivingRoom/2 light brightness level to MEDIUM'],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_3_1734794957160304000.log,ZH
1734798399876955000,openai_gpt-4o,auto_adapt,7,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_7_1734798399876955000.log,ZH
1734794920695071000,openai_gpt-4o,auto_adapt,2,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_2_1734794920695071000.log,ZH
1734796494199020000,openai_gpt-4o,auto_adapt,2,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_2_1734796494199020000.log,ZH
1734795453371614000,openai_gpt-4o,auto_adapt,7,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_auto_adapt_7_1734795453371614000.log,ZH
